事故编号(序号),事故发生时间,星期,事故地点,桩号,事故类型1,事故类型2,死亡人数,重伤人数,受伤人数,直接财产损失（元）,交通中断时间,天气,道路线型,路口路段类型,事故形态,事故认定原因,交通方式 涉事车辆1,交通方式 涉事车辆2（两车事故填）,交通方式 其它涉事车辆（多车事故时手填）,路表情况,路侧防护设施类型,案情简要
101,50:00.0,3,G85银昆高速上行线K1724+800M,1724800,轻微事故,两车事故,0,0,0,,无,晴,平直,普通路段,尾随相撞,其他操作不当,小型客车,小型客车,,干燥,波形防撞护栏,2021年01月27日15时50分上高桥隧道管理站当班人员巡逻至辖区上行线K1724+800处发现一起两车追尾交通事故，经现场查看：该事故是由云A3396Z驾驶员操作不当撞向前方行驶车辆（川C81339）导致的交通事故，该事故占用行车道及应急车道，超车道正常通行。现场无人员受伤，无路产损失。当班人员已摆放警示锥桶，并联合交警四中队对该起事故进行处理，于2021年01月27日17时25分处理完毕，道路恢复通行共计用时1时35分。
102,40:00.0,5,G85银昆高速上行线K1731+150M,1731150,轻微事故,单车事故,0,0,0,,无,阴,平直,普通路段,侧面相撞,其他操作不当,小型客车,,,潮湿,波形防撞护栏,2021年01月29日23时35分上高桥隧管站当班人员接交警五中队通知麻昭高速上行线K1731+150处发生一起单方肇事交通事故，当班人员于2021年01月29日23时40分到达事故现场，经现场查看：云C G5920驾驶员操作不当撞向左侧波形护栏造成交通事故，事故占用超车道，现场无人员受伤，有路产损失；当班人员立即上报昭阳分处安全养护部及监控中心。并联系路政和保洁单位，于2021年01月30日00时40分拖车到达现场施救完毕，道路恢复正常通行。路政部门未到达现场路产由当班人员核量，该事故造成路产损坏：K1731+150处路产损坏：防阻块4个、立柱3根、波形护栏两波板 4块、引道照明1盏（路灯）；1731+180 处波形护栏两波板1块、防阻块1个；路面垃圾2平方米。
103,50:00.0,7,G85银昆高速上行线K1706+505M,1706505,轻微事故,单车事故,0,0,0,,无,雨,平直,隧道,侧面相撞,其他操作不当,中型货车,,,潮湿,防撞墙,2021年01月31日08时50分上高桥隧管站当班人员接交警四中队通知麻昭高速上行线K1706+505处（上高桥隧道内）发生一起单方肇事交通事故，当班人员立即赶到事故现场，经现场查看：由川AY7575驾驶员操作不当撞向右侧电缆沟造成交通事故，事故未占用车道（车辆已开到上高桥收费站处理），现场无人员受伤，有路产损失，已通知路政、并上报昭阳分处安全养护部。此事故由川AY7575三轴货车造成路产损坏：一、上行线K1706+505处右侧路产损坏：1.损坏电缆沟沟帮长5米、高0.5米，2.损坏电缆沟盖板10块。二、上行线1706+540处右侧路产损坏： 1.损坏电缆沟沟帮长13米、高0.5米，2.损坏电缆沟盖板38块，3.损坏上行线上高桥隧道内6号消防箱1个，4.损坏电缆线架20个；于2021年01月31日09时40分事故处理完毕，路政部门未到达现场路产由当班人员核量。
104,2021/2/1 2:14,1,银昆高速公路下行线K1688+870,1688870,轻微事故,单车事故,0,0,0,5260,无,阴,平直,隧道,撞固定物,疲劳驾驶,小型货车,,,干燥,其他防护设施,"2021年2月1日02时14分凉水井隧管站站接交警电话通知，四方石隧道上行线K1688+870处发生一起交通事故，我所值班人员02时41分赶到现场，摆放标志牌、警戒桶进行安全提示，交警已02时45分到达现场。现场一辆货车单方肇事，临时车牌（川J49533)占用超车道，行车道可缓慢通行，无人员伤亡，有路产损失:1、电缆沟帮:损坏19m；2、隧道壁刮痕:长9.7m,宽0.7m；3、轮廓灯损坏:1个。已通知路政部门并上报相关科室。03时12分拖车到达现场对事故车辆进行拖离，交通恢复正常通行。"
105,55:00.0,4,G85银昆高速下行线K1716+400M,1716400,财产损失事故,单车事故,0,0,0,15894,无,晴,平直,普通路段,侧面相撞,其他操作不当,小型客车,,,干燥,波形防撞护栏,2021年2月4日14时50分上高桥隧管站当班人员接交警四中队通知麻昭高速下行线K1716+400处发生一起单方肇事交通事故，当班人员于2021年2月4日15时01分到达事故现场，经现场查看：赣B L7N02驾驶员操作不当撞向右侧波形护栏造成交通事故，事故占用超车道，现场无人员受伤，有路产损失；现场查看后立即上报昭阳分处安全养护部及监控中心，并联系路政和保洁单位，于2021年2月4日15时17分拖车到达现场，15时37分路政部门和现场人员核量损坏路产，该事故造成路产损坏：波形护栏两波板5块、立柱6根、防阻块7个、路面刮痕：长4米、宽0.1米、路面垃圾3平方米，15时52分处理完毕，道路恢复正常通行。
106,22:00.0,7,G85银昆高速下行线K1707+700M,1707700,财产损失事故,单车事故,0,0,0,180,11:28-12:39,阴,一般坡,隧道,对向刮擦,其他操作不当,小型客车,,,干燥,防撞墙,"2021年02月07日10时56分麻昭高速公路下行线上高桥隧道内K1707+700(上高桥收费站至悦乐收费站间)车牌为浙C330QK的轿车发生一起单方肇事交通事故，后车云AQ800H因避让不及时撞向电缆沟壁，未造成电缆沟壁损坏,占用行车道。现场无人员受伤；浙C330QK涉及路产损失，1.刮擦掉3个隧道轮廓标。由于施救需要于11时00分在下行线K1713+000处进行临时交通管制。现场查看后立即上报昭阳分处安全养护部及监控中心。于12时39分拖车拖离事故现场，道路恢复正常通行，交通管制结束。"
107,50:00.0,5,G85银昆高速上行线K1732+900M,1732900,轻微事故,单车事故,0,0,0,,14:58-15:20,阴,平直,隧道,对向刮擦,其他操作不当,小型客车,,,干燥,防撞墙,2021年2月12日14时50分上高桥隧道管理站当班人员巡查至上行线K1732+900处发现一起单方肇事交通事故，当班人员立即协助交警部门处理交通事故，该事故为车牌云C9C302的一型客车因操作不当导致车辆撞向电缆沟的单方肇事交通事故，占用超车道，该事故无人员伤亡，无路产损坏，靖安收费站至昭通北收费站之间，当班人员配合交警对上行线北闸隧道入口K1731+100处进行临时交通管制，已上报昭阳分处养护安全部及监控中心，该事故于15时20分处理完毕交通恢复正常通行，交通管制结束。
108,55:00.0,6,G85银昆高速下行线K1730+680M,1730680,轻微事故,单车事故,0,0,0,,无,阴,平直,桥梁,对向刮擦,其他操作不当,小型货车,,,干燥,防撞墙,2021年2月13日00时35分上高桥隧道管理站当班人员接交警四中队电话通知：下行线K1730+680处发生一起单方肇事交通事故，当班人员到现场了解到因驾驶员操作不当导致车辆撞向防撞墙的单方肇事交通事故，占用应急车道，该事故无人员伤亡，无路产损坏，昭通北收费站至靖安收费站之间，由于车辆损坏，当班人员在事故车辆后方摆放警示锥桶，配合交警等待拖车救援，已上报昭阳分处养护安全部，该事故于01时23分处理完毕，交通恢复正常通行，
109,2021/2/15 12:40,1,银昆高速公路上行线K1693+500,1693500,轻微事故,多车事故,0,0,0,,无,晴,平直,隧道,尾随相撞,未与前方车辆保持安全距离,小型客车,小型客车,云CVY021  云AT0G59  云A95T56,干燥,其他防护设施,2021年2月15日12时40分凉水井隧管站站接交警电话通知，上行线K1693+500处发生一起3车连环追尾的交通事故，我所值班人员13时00分赶到现场，交警已到达现场处理，事故车辆转移至应急车道处理。无人员伤亡，无路产损失。14时10分事故处理结束，交通恢复正常通行。
110,2021/2/17 11:50,3,银昆高速公路上行线K1674+400,1674400,轻微事故,多车事故,0,0,0,,无,阴,平直,普通路段,尾随相撞,未与前方车辆保持安全距离,小型客车,小型客车,云C1V183   云CNM311  云CEN060  渝C8V698  云A959U6 云C7D529,干燥,防撞墙,2021年2月17日11时50分凉水井隧管站站接交警电话通知，上行线K1674+400处发生一起6车连环追尾的交通事故，我所值班人员12时00分赶到现场，交警已到达现场处理，事故车辆已在交警指挥下转移到隧道外应急车道处理。12时38分拖车到达现场对最后一辆事故车辆进行拖离，交通恢复正常通行。
111,50:00.0,3,G85银昆高速上行线K1732+100M,1732100,轻微事故,两车事故,0,0,0,,无,阴,平直,隧道,尾随相撞,未与前方车辆保持安全距离,小型客车,小型客车,,干燥,防撞墙,"2021年2月17日12时50分接交警北闸执勤点通知麻昭高速公路上行线K1732+100处(靖安收费站至昭通北收费站）小型汽车发生单两车追尾交通事故，上高桥隧管站迅速赶赴现场协助交警对交通事故进行处理，该事故是因小型客车（云CF7882）行驶途中操作不当追尾小型客车（云A106EA）造成的两车追尾交通事故,事故车辆占用超车道，行车道正常通行，现场无人员受伤，无路产损坏，拖车于13时44分到达现场并对事故车辆进行救援。事故于2021年2月17日14时05分处理完毕，交通恢复正常通行，该事故共计用时1时15分处理完毕。"
112,2020/2/21 22:08,7,银昆高速公路上行线K1743+000M,1743000,财产损失事故,单车事故,0,0,0,3600,,阴,平直,普通路段,碰撞静止车辆,其他操作不当,小型客车,,,干燥,其他防护设施,2021年2月21日22时08分，驾驶员驾驶车辆渝A397EW号货车行驶在G85银昆高速麻昭段，22时08分许，行驶到银昆高速公路上行线K1743+000M处时，因机械故障导致车辆漏油，造成单方肇事交通事故，有路产损失，无人员伤亡，事故未造成交通中断，事故认定为：机械故障。
113,2021/2/27 6:10,6,银昆高速公路上行线K1759+650M,1759650,财产损失事故,单车事故,0,0,0,8660,,晴,平直,普通路段,撞固定物,油门控制不当,小型客车,,,干燥,波形防撞护栏,2021年2月27日06时10分，肖意华，男33岁，驾驶云A8K85Y号面包车行驶在G85银昆高速麻昭段，06时10分许，行驶到银昆高速公路上行线K1759+650M处时，因油门控制不当导致车辆撞击左侧波形护栏，造成单方肇事交通事故，有路产损失，无人员伤亡，事故未造成交通中断。事故认定为：驾驶员油门控制不当。
114,2021/2/17 14:00,3,银昆高速公路上行线K1665+200,1665200,轻微事故,两车事故,0,0,0,6800,无,阴,平直,普通路段,尾随相撞,未与前方车辆保持安全距离,小型客车,小型客车,,干燥,防撞墙,2021年2月17日14时00分凉水井隧管站站接交警电话通知，上行线K1665+200处发生一起2车追尾的交通事故，我所值班人员14时24分赶到现场，交警已到达现场处理，事故占用行车道，超车道可正常通行。无人员伤亡，有路产损失。15时46分事故处理结束，交通恢复正常通行。
115,2021/2/27 9:38,6,银昆高速公路上行线K1671+980,1671980,轻微事故,单车事故,0,0,0,,无,阴,平直,普通路段,撞固定物,其他操作不当,小型客车,,,干燥,防撞墙,2021年2月27日09时38分凉水井隧管站巡查至上行线K1671+980处发现一起交通事故，我所值班人员立即对现场摆放标志牌、警戒桶进行安全提示，并立即联系交警部门，交警于10时00分到达现场。现场一辆一型客车（车牌：云AK2D59）躲避变道车辆，撞击至应急车道处，现场无人员伤亡，无路产损失。10时56分拖车到达现场对事故车辆进行拖离，交通恢复正常通行。
116,50:00.0,6,G85银昆高速上行线K1732+400M,1732400,轻微事故,两车事故,0,0,0,,17:55-19:50,阴,平直,隧道,尾随相撞,未与前方车辆保持安全距离,小型客车,小型客车,,干燥,防撞墙,2021年2月27日17时50分接交警北闸执勤点通知麻昭高速公路上行线K1732+600处(靖安收费站至昭通北收费站之间）发生3起两车追尾交通事故。上高桥隧管站迅速赶赴现场协助交警对交通事故进行处理，于17时55分交警部门在上行线K1731+100北闸隧道入口处进行交通临时管制，于19时40分解除临时交通管制，事故车辆还有两张没脱离现场，行车道正常通行，占用超车道。此次追尾交通事故于20时03分拖离全部事故车辆恢复正常交通，已上报安全养护部及监控中心。
117,2021/3/5 6:53,5,银昆高速公路上行线K1752+200M,1752200,财产损失事故,单车事故,0,0,0,,06:53-08:10,晴,平直,桥梁,失火,其他意外,小型货车,,,干燥,其他防护设施,2021年3月5日06时53分，因证件被烧毁未能找到相关信息，驾驶员驾驶车辆驶行驶在G85银昆高速麻昭段，06时53分许，行驶到银昆高速公路上行线K1752+200M处时，车辆自燃，造成单方肇事交通事故，有路产损失，无人员伤亡，事故造成交通中断，中断时间：06时53分至08时10分。事故认定为：车辆自燃。
118,02:00.0,7,G85银昆高速下行线K1725+890M,1725890,伤人事故,单车事故,0,0,1,8160,无,阴,平直,普通路段,侧面相撞,其他操作不当,小型客车,,,潮湿,波形防撞护栏,2021年3月7日08时02分上高桥隧管站当班人员接交警四中队通知麻昭高速公路下行线K1725+290处发生一起单方肇事交通事故，当班人员于2021年3月7日08时22分到达事故现场，经现场查看：川EFK592驾驶员操作不当撞向右侧波形护栏造成交通事故，事故占用应急车道，行车道、超车道正常通行；现场1人受轻伤，有路产损失；交警、路政已到现场处理，现场查看后上报昭阳分处安全养护部及监控中心；经路政部门和现场人员核量损坏路产：1、损坏波形护栏2块，2、损坏立柱2根，3、损坏防阻块5个，4、损坏半圆端头2个，5、损坏防撞沙桶1个，6、损坏框格梁锚头水泥头1个；该事故于2021年3月7日09时08分处理完毕，道路恢复正常通行。
119,2021/3/19 7:38,5,银昆高速公路下行线K1667+900,1667900,其他,单车事故,0,0,0,,无,阴,平直,普通路段,失火,自然灾害,大型客车,,,干燥,防撞墙,2021年3月19日07时38分凉水井隧管站接交警电话通知下行线K1667+900处一辆运载快递的拖挂车自燃，我所值班人员立即出动消防车对自燃车辆进行施救，交警于07时50分到达现场。现场一辆运载快递的拖挂车（车牌：前湘A77D08，后湘AE712挂）由于轮胎自燃，引发车厢内物品着火，现场无人员伤亡，无路产损失。10时52分拖挂车施救完毕，驶离现场。交通恢复正常通行。
120,2021/3/27 2:08,6,银昆高速公路上行线K1699+100,1699100,轻微事故,单车事故,0,0,0,,无,阴,平直,普通路段,撞固定物,疲劳驾驶,小型客车,,,干燥,防撞墙,2021年3月27日02时08分凉水井隧管站接交警电话通知上行线K1699+100处一辆小型客车发生一起单方肇事，我站人员已赶至现场摆放警示标志，一辆车牌为（川Q396W8）撞至桥梁防撞墙上，交警已到现场处理，事故占用应急车道，行车道可以正常通行，无人员受伤，无路产损失，02时59分事故车辆拖离事故现场，03时07分摆放锥桶标示牌收回，道路恢复正常通行。
121,2021/3/28 22:36,7,银昆高速公路下行线K1671+350,1671350,其他,单车事故,0,0,0,15640,无,阴,平直,普通路段,失火,自然灾害,大型货车,,,干燥,波形防撞护栏,2021年3月28日22时36分凉水井隧管站接交警电话通知下行线K1671+350处一辆运载机械设备的拖挂车自燃，我所值班人员立即出动消防车对自燃车辆进行施救，交警于22时44分到达现场。现场一辆运载机械设备的拖挂车（车牌：渝D68166，）由于轮胎自燃，引发运载货物着火，现场无人员伤亡，有路产损失。03时46分自燃车辆施救完毕，驶离现场。交通恢复正常通行。
122,2021/3/29 11:55,1,银昆高速公路下行线K1693+380,1693380,轻微事故,两车事故,0,0,0,,无,阴,平直,隧道,尾随相撞,未与前方车辆保持安全距离,小型客车,中型客车,,干燥,其他防护设施,2021年3月29日11时55分凉水井隧管站巡查至下行线K1693+380处一辆车牌为（川A0Y9V1）一型客车因操作不当与一辆车牌为（鄂QM85K7）的二型货车发生追尾，我所巡查人员立即摆放锥桶及标示牌，并立即通知交警前来处理，交警于12时05分到达现场，现场无人员伤亡，无路产损失。12时48分小型客车拖离现场，货车驶离现场。12时50分我站人员收回摆放锥桶，12时55分交通恢复正常通行。
123,2021/4/2 17:00,5,银昆高速公路胡家湾子2号隧道上行线K1682+250,1682250,轻微事故,两车事故,0,0,0,,无,晴,平直,隧道,尾随相撞,未与前方车辆保持安全距离,小型客车,小型客车,,干燥,其他防护设施,"2021年4月2日17时00分我站值班负责人接到交警电话胡家湾子2号隧道上行线K1682+250发生一起交通肇事事故，我站人员立即赶赴现场，我站人员于17时34分到达现场，我站巡查人员立即延长锥桶，交警已在现场处理，经查看事故现场其中一辆已自行开出隧道等待处理，一辆小车车牌为（云A000DR）受损较严重，无法移动，事故车辆占用行车道，超车道正常通行，我站人员已摆放相关警示标志，无人员伤亡，无路产损失,17时58分拖车到达现场，18时00分事故车辆已拖离事故现场，18时06分事故车辆已拖离现场收回摆放锥桶，18时06分道路恢复正常通行。"
124,50:00.0,5,G85银昆高速下行线K1707+800M,1707800,伤人事故,两车事故,0,0,1,,10:38-11:08,阴,一般坡,隧道,尾随相撞,未与前方车辆保持安全距离,小型客车,小型客车,,干燥,防撞墙,2021年4月3日10时30分上高桥隧管站当班人员接交警四中队通知麻昭高速公路下行线K1707+800处发生一起两车追尾交通事故，当班人员于2021年4月3日10时50分到达事故现场，经现场查看：云C 83515驾驶员操作不当追尾前车（当班人员到现场时已拖走）造成交通事故，事故占用超车道，由于施救需要，10时30分交警部门在下行线K1713+500临时交通管制，现场1人受轻伤，无路产损失；现场查看后及时上报昭阳分处安全养护部及监控中心。该事故于2021年4月3日11时08分处理完毕，当班人员清理完路面垃圾，11时08分交警解除交通管制，道路恢复正常通行。
126,2021/4/18 22:20,6,银昆高速公路下行线K1671+740,1671740,其他,单车事故,0,0,0,15080,无,阴,平直,普通路段,失火,自然灾害,大型货车,,,干燥,防撞墙,2021年4月18日22时20分凉水井隧管站接交警电话通知下行线K1671+740处一辆运载香蕉拖挂车自燃，我所值班人员立即出动消防车对自燃车辆进行施救，交警于22时30分到达现场。现场一辆运载香蕉的拖挂车（车牌：鲁Q723FN，）由于轮胎自燃，引发运载货物着火，现场无人员伤亡，有路产损失。02时38分自燃车辆施救完毕。交通恢复正常通行。
127,2021/4/19 11:40,7,银昆高速公路凉水井隧道下行线K1674+000,1674000,财产损失事故,单车事故,0,0,0,,上高桥收费站、悦乐收费站、靖安收费站分流，下行线北闸隧道交通管制5个小时,晴,平直,隧道,失火,自然灾害,大型货车,,,干燥,其他防护设施,2021年4月19日11时40分凉水井隧管站接到监控值班人员电话通知凉水井隧道下行线K1674+000处一辆运载土豆拖挂车自燃，我所值班人员立即出动消防车对自燃车辆进行施救，因到达现场处火势无法得到控制，12时05分当班人员对隧道滞留人员进行疏散，交警于12时25分到达现场对主线车辆进行交通管制，13时45分自燃车辆已扑灭，14时00分当班人员进行到现场进行查看，一辆运载土豆的拖挂车（车牌：晋ADL596，）由于轮胎自燃，引发运载货物着火，现场无人员伤亡，有路产损失。18时20分自燃车辆施救完毕。交通恢复正常通行。
128,40:00.0,2,G85银昆高速上行线K1743+900M,1743900,伤人事故,两车事故,0,0,1,,23:22-06:59,阴,平直,普通路段,尾随相撞,其他操作不当,大型货车,大型货车,,潮湿,波形防撞护栏,2021年4月25日22时40分上高桥隧管站当班人员接北闸执勤点通知麻昭高速公路上行线K1743+900处（昭通北收费站至昭通收费站之间）发生一起两车追尾交通事故，当班人员于2021年4月25日23时22分到达事故现场，经现场查看：豫C N1636（拉载百货及染料的6轴货车）驾驶员操作不当追尾前车陕A W5067（8轴货车）造成交通事故，事故造成上下行线交通中断，1人受伤（已送医院救治）；由于施救困难，23时22分交警部门对上行线昭通北收费站出口进行分流，23时27分在下行线K1744+000处进行临时交通管制，有路产损失；交警、路政已到现场处理，现场查看后及时上报昭阳分处安全养护部及监控中心。经路政部门和现场人员核量损坏路产：1、上行线损坏波形护栏板（二波板）4块，2、上行线损坏防撞立柱4根，3、上行线损坏防阻块7个，4、下行线损坏波形护栏（二波板）4块，5、下行线损坏防撞立柱3根，6、下行线损坏防阻块3个，7、中央绿化树塔柏17颗，8、金叶女贞树苗长27.8米、宽1.4米，9、上行线损坏路沿石10米，10、上行线路面划痕长9米、宽3米，11、上行线路面损坏长84米、宽13米，下行线路面损坏长31米、宽13米，12、油料污染绿化带长27.8米、宽1.4米，13、下行线标线宽0.2米、长93米；下行线标线宽0.2米、长93米，14、上行线标线宽0.2米、长252米；上行线标线宽0.2米、长252米。该事故于2021年4月26日06时59分解除下行线交通管制，07时35分处理完毕，道路恢复正常通行。
129,30:00.0,7,G85银昆高速上行线K1707+040M,1707040,伤人事故,多车事故,0,0,1,,无,阴,一般坡,隧道,尾随相撞,其他操作不当,小型客车,小型客车,小型客车,干燥,防撞墙,2021年5月2日20时30分上高桥隧管站当班人员接交警四中队通知麻昭高速公路上行线K1707+040处发生一起三车追尾交通事故，当班人员于2021年5月2日20时56分到达现场，经现场查看：云C R6245（一型客车）驾驶员操作不当追尾前车云C 12B18（一型客车）和云C R3126（一型客车）造成交通事故，事故占用超车道，行车道可正常通行，未进行交通管制，现场1人受轻伤，已打电话通知就近医院进行救治，救护车于2021年5月2日21时26分到达现场施救；该事故无路产损失；现场查看后及时上报昭阳分处养护安全部及监控中心。该事故于2021年5月2日21时51分处理完毕，道路恢复正常通行。
130,00:00.0,7,G85银昆高速下行线K1718+800M,1718800,伤人事故,多车事故,0,0,3,,01:33-03:21,阴,平直,普通路段,尾随相撞,未与前方车辆保持安全距离,小型货车,小型客车,小型客车,干燥,波形防撞护栏,2021年5月2日01时00分接监控中心通知下行线K1718+800处（靖安收费站至上高桥收费站之间）发生交通事故，我班人员立即赶往事故现场，于01时33分到达事故现场，该事故是一起4车追尾事故，云CYD190一型货车侧翻导致交通中断，我班人员配合交警对下行线K1719+000、下行线K1733+300处北闸隧道入口（昭通北收费站至靖安收费站之间）进行临时交通管制，并对事故现场进行处理，其他车辆为：一型货车（黑A6HT96）、一型客车（川Q80A75）、一型客车（云A9R9E1），现场3人受伤，已送医院、侧翻一型货车所拉货物为电器，已上报昭阳分处养护安全部及监控中心，并通知路政，损坏路产：1.路面垃圾长8米、宽4米，2.路面刮痕长2米、宽0.7米。事故于03:21分交通事故处理完毕，道路恢复正常通行，管制点解除交通管制。
131,2021/5/6 20:23,4,银昆高速公路凉水井隧道出口下行线K1688+200,1688200,轻微事故,单车事故,0,0,0,,无,阴,平直,桥梁,失火,自然灾害,大型货车,,,干燥,防撞墙,2021年5月6日20时53分凉水井隧管站接到电话通知凉水井隧道下行线K1688+200处一辆130小货车自燃，我所值班人员立即出动消防车对自燃车辆进行施救，因现场火势较小，已被交警部门用隧道内灭火器扑灭，21时06分现场事故车辆被拖离，交通恢复正常通行。
132,10:00.0,7,G85银昆高速下行线K1714+200M,1714200,财产损失事故,两车事故,0,0,0,1950,无,阴,平直,普通路段,尾随相撞,未与前方车辆保持安全距离,小型货车,中型货车,,干燥,波形防撞护栏,2021年5月9日02时10分接交警通知下行线K1714+200处（靖安收费站至上高桥收费站之间）发生交通事故，我班人员于02时40分到达事故现场配合交警处理，该事故是一起1型货车（云G89987）追尾一辆三型货车（渝D93828），占用下行线K1714+200至K1713+800处行车道，超车道正常通行，靖安收费站至上高桥收费站之间，该事故无人员伤亡，有路产损坏，已上报昭阳分处养护安全部及监控中心。事故于04时19分处理完毕，道路恢复正常通行。损坏路产：1.路面油污长4米、宽1.2米，2.路面垃圾长7米、宽2.7米。
133,2021/5/12 13:10,3,银昆高速公路下行线K1670+350,1670350,轻微事故,单车事故,0,0,0,4500,无,晴,平直,普通路段,失火,自然灾害,大型货车,,,干燥,其他防护设施,2021年5月12日13时10分凉水井隧管站接到电话通知下行线K1670+350处一辆车牌为（蒙B92815）的五型货车，因轮胎发生爆胎导致车辆自燃。我站人员立即出动消防车进行救援，我站人员于13时30分赶往现场，交警已在现场。明火于13时45分扑灭，现场无人员伤亡、有路产损失。我站人员立即上报相关科室及监控中心。15时05分施救车辆到达现场，开始清理转移货物，17时59分自燃车辆已拖离现场，事故已处理完毕，摆放锥桶标示牌已收回，交通恢复正常通行
134,2021/5/12 17:42,3,银昆高速公路下行线K1671+300,1671300,轻微事故,单车事故,0,0,0,,无,阴,平直,普通路段,失火,自然灾害,中型货车,,,干燥,防撞墙,2021年5月13日17时42分凉水井隧管站接到电话通知下行线K1671+300处一辆车牌为（川B3ZM68）的一型货车，因喷水系统故障导致轮胎自燃。我站人员立即出动消防车进行救援，我站人员于17时47分赶往现场，交警已在现场。明火于17时48分扑灭，现场无人员伤亡、无路产损失。我站人员立即上报相关科室及监控中心。19时05分施救车辆到达现场，20时26分自燃车辆已驶离现场，交通恢复正常通行。
135,2021/5/14 9:06,5,银昆高速公路上行线KK1760+500M,1760500,财产损失事故,单车事故,0,0,0,,09:06-12：30,晴,平直,普通路段,撞固定物,制动不当,大型货车,,,干燥,波形防撞护栏,2021年5月14日09时06分，到现场时驾驶员未找到证件，驾驶员驾驶沪H7022号货车行驶在G85银昆高速麻昭段，09时06分许，行驶到银昆高速公路上行线KK1760+500M处时，因操作不当导致车辆撞击右侧波形护栏后侧翻，造成单方肇事交通事故，有路产损失，无人员伤亡，事故造成交通中断，中断时间：09时06分至12时30分。事故认定为:驾驶员制动不当。
136,05:00.0,5,G85银昆高速上行线K1708+800M,1708800,财产损失事故,单车事故,0,0,0,1350,无,阴,一般坡,隧道,侧面相撞,机件故障,小型货车,,,干燥,防撞墙,2021年5月14日10时05分当班人员巡查至上行线K1708+800处（悦乐收费站至上高桥收费站之间）发生一起单方肇事事故，经现场查看，该事故是一起1型货车（川A922LP）因前轴断裂撞向电缆沟邦造成交通事故，占用上行线K1708+600至K1708+800处行车道，超车道正常通行，悦乐收费站至上高桥收费站之间，该事故无人员伤亡，有路产损坏，已上报昭阳分处养护安全部及监控中心。事故于2021年5月14日11时20分处理完毕，道路恢复正常通行。损坏路产：1.路面油污长2.5米、宽2米，2.电缆沟邦长1米、高0.5米。
137,2021/5/14 12:58,5,银昆高速公路胡家湾子2号隧道上行线K1687+230,1687230,轻微事故,单车事故,0,0,0,,无,晴,平直,隧道,撞固定物,其他操作不当,小型客车,,,干燥,其他防护设施,2021年5月14日12时58分凉水井隧管站巡查至胡家湾子2号隧道上行线K1687+230处一辆车牌为（云A2622R）的一型客车，因注意力不集中发生单方肇事，停在超车道上，当班人员立即摆放锥桶及标示牌封闭超车道，交警已到现场处理，当班人员立即上报相关科室及监控中心，13时51分拖车到达现场，14时12分事故车辆已拖离现场收回已摆放锥桶标示牌，交通恢复正常通行。
